mora, romanji, repetitionsCount, dontKnowCount, practiceCount, masteredCount
デェ,dhe,0,0,0,0
デョ,dho,0,0,0,0
ニャ,nya,0,0,0,0
ニィ,nyi,0,0,0,0
ニュ,nyu,0,0,0,0
ニェ,nye,0,0,0,0
ニョ,nyo,0,0,0,0
ヒャ,hya,0,0,0,0
ヒィ,hyi,0,0,0,0
ヒュ,hyu,0,0,0,0
ヒェ,hye,0,0,0,0
ヒョ,hyo,0,0,0,0
ビャ,bya,0,0,0,0
ビィ,byi,0,0,0,0
ビュ,byu,0,0,0,0
ビェ,bye,0,0,0,0
ビョ,byo,0,0,0,0
ピャ,pya,0,0,0,0
ピィ,pyi,0,0,0,0
ピュ,pyu,0,0,0,0
ピェ,pye,0,0,0,0
ピョ,pyo,0,0,0,0
ミャ,mya,0,0,0,0
ミィ,myi,0,0,0,0
ミュ,myu,0,0,0,0
ミェ,mye,0,0,0,0
ミョ,myo,0,0,0,0
リャ,lya,0,0,0,0
リィ,lyi,0,0,0,0
リュ,lyu,0,0,0,0
リェ,lye,0,0,0,0
リョ,lyo,0,0,0,0
あ,a,0,0,0,0
い,i,0,0,0,0
う,u,0,0,0,0
え,e,0,0,0,0
お,o,0,0,0,0
ぁ,xa,0,0,0,0
ぃ,xi,0,0,0,0
ぅ,xu,0,0,0,0
ぇ,xe,0,0,0,0
ぉ,xo,0,0,0,0
か,ka,0,0,0,0
き,ki,0,0,0,0
く,ku,0,0,0,0
け,ke,0,0,0,0
こ,ko,0,0,0,0
が,ga,0,0,0,0
ぎ,gi,0,0,0,0
ぐ,gu,0,0,0,0
げ,ge,0,0,0,0
ご,go,0,0,0,0
さ,sa,0,0,0,0
し,shi,0,0,0,0
す,su,0,0,0,0
せ,se,0,0,0,0
そ,so,0,0,0,0
ざ,za,0,0,0,0
じ,ji,0,0,0,0
ず,zu,0,0,0,0
ぜ,ze,0,0,0,0
ぞ,zo,0,0,0,0
じゃ,ja,0,0,0,0
じゅ,ju,0,0,0,0
じぇ,je,0,0,0,0
じょ,jo,0,0,0,0
た,ta,0,0,0,0
ち,chi,0,0,0,0
つ,tsu,0,0,0,0
て,te,0,0,0,0
と,to,0,0,0,0
だ,da,0,0,0,0
ぢ,dji,0,0,0,0
づ,dzu,0,0,0,0
で,de,0,0,0,0
ど,do,0,0,0,0
な,na,0,0,0,0
に,ni,0,0,0,0
ぬ,nu,0,0,0,0
ね,ne,0,0,0,0
の,no,0,0,0,0
は,ha,0,0,0,0
ひ,hi,0,0,0,0
ふ,fu,0,0,0,0
へ,he,0,0,0,0
ほ,ho,0,0,0,0
ば,ba,0,0,0,0
び,bi,0,0,0,0
ぶ,bu,0,0,0,0
べ,be,0,0,0,0
ぼ,bo,0,0,0,0
ぱ,pa,0,0,0,0
ぴ,pi,0,0,0,0
ぷ,pu,0,0,0,0
ぺ,pe,0,0,0,0
ぽ,po,0,0,0,0
ヴぁ,va,0,0,0,0
ヴぃ,vi,0,0,0,0
ヴぇ,ve,0,0,0,0
ヴぉ,vo,0,0,0,0
ふぁ,fa,0,0,0,0
ふぃ,fi,0,0,0,0
ふぇ,fe,0,0,0,0
ふぉ,fo,0,0,0,0
ま,ma,0,0,0,0
み,mi,0,0,0,0
む,mu,0,0,0,0
め,me,0,0,0,0
も,mo,0,0,0,0
や,ya,0,0,0,0
ゆ,yu,0,0,0,0
いぇ,ye,0,0,0,0
よ,yo,0,0,0,0
ら,ra,0,0,0,0
り,ri,0,0,0,0
る,ru,0,0,0,0
れ,re,0,0,0,0
ろ,ro,0,0,0,0
わ,wa,0,0,0,0
ゐ,wi,0,0,0,0
ゑ,we,0,0,0,0
を,wo,0,0,0,0
ん,n,0,0,0,0
ゎ,xwa,0,0,0,0
ゃ,xya,0,0,0,0
ゅ,xyu,0,0,0,0
ょ,xyo,0,0,0,0
きゃ,kya,0,0,0,0
きぃ,kyi,0,0,0,0
きゅ,kyu,0,0,0,0
きぇ,kye,0,0,0,0
きょ,kyo,0,0,0,0
ぎゃ,gya,0,0,0,0
ぎぃ,gyi,0,0,0,0
ぎゅ,gyu,0,0,0,0
ぎぇ,gye,0,0,0,0
ぎょ,gyo,0,0,0,0
しゃ,sha,0,0,0,0
しぃ,syi,0,0,0,0
しゅ,shu,0,0,0,0
しぇ,she,0,0,0,0
しょ,sho,0,0,0,0
じぃ,jyi,0,0,0,0
ちゃ,cha,0,0,0,0
ちぃ,cyi,0,0,0,0
ちゅ,chu,0,0,0,0
ちぇ,che,0,0,0,0
ちょ,cho,0,0,0,0
てゃ,tha,0,0,0,0
てぃ,ti,0,0,0,0
てゅ,thu,0,0,0,0
てぇ,the,0,0,0,0
てょ,tho,0,0,0,0
ぢゃ,dya,0,0,0,0
ぢぃ,dyi,0,0,0,0
ぢゅ,dyu,0,0,0,0
ぢぇ,dye,0,0,0,0
ぢょ,dyo,0,0,0,0
でゃ,dha,0,0,0,0
でぃ,di,0,0,0,0
でゅ,dhu,0,0,0,0
でぇ,dhe,0,0,0,0
でょ,dho,0,0,0,0
にゃ,nya,0,0,0,0
にぃ,nyi,0,0,0,0
にゅ,nyu,0,0,0,0
にぇ,nye,0,0,0,0
にょ,nyo,0,0,0,0
ひゃ,hya,0,0,0,0
ひぃ,hyi,0,0,0,0
ひゅ,hyu,0,0,0,0
ひぇ,hye,0,0,0,0
ひょ,hyo,0,0,0,0
びゃ,bya,0,0,0,0
びぃ,byi,0,0,0,0
びゅ,byu,0,0,0,0
びぇ,bye,0,0,0,0
びょ,byo,0,0,0,0
ぴゃ,pya,0,0,0,0
ぴぃ,pyi,0,0,0,0
ぴゅ,pyu,0,0,0,0
ぴぇ,pye,0,0,0,0
ぴょ,pyo,0,0,0,0
みゃ,mya,0,0,0,0
みぃ,myi,0,0,0,0
みゅ,myu,0,0,0,0
みぇ,mye,0,0,0,0
みょ,myo,0,0,0,0
りゃ,lya,0,0,0,0
りぃ,lyi,0,0,0,0
りゅ,lyu,0,0,0,0
りぇ,lye,0,0,0,0
りょ,lyo,0,0,0,0
ンア,n'a,0,0,0,0
んあ,n'a,0,0,0,0
ンイ,n'i,0,0,0,0
んい,n'i,0,0,0,0
ンウ,n'u,0,0,0,0
んう,n'u,0,0,0,0
ンエ,n'e,0,0,0,0
んえ,n'e,0,0,0,0
ンオ,n'o,0,0,0,0
んお,n'o,0,0,0,0
ンヤ,n'ya,0,0,0,0
んや,n'ya,0,0,0,0
ンユ,n'yu,0,0,0,0
んゆ,n'yu,0,0,0,0
ンヨ,n'yo,0,0,0,0
んよ,n'yo,0,0,0,0
